,Bacteroidales,Oscillospirales,RF32,Verrucomicrobiales,Actinomycetales,Lactobacillales,Enterobacterales,Veillonellales,Brachyspirales,Haloplasmatales,Lachnospirales,Clostridiales,Erysipelotrichales,Acidaminococcales
MB-4799,0.18830371789817468,0.1564521311798968,0.0,0.0,0.0626327424206978,0.3235270666459737,0.0,0.0,0.0,0.1284622789880083,0.0,0.1406220628672484,0.0,0.0
MB-9568,0.4155826122276916,0.1068460065604241,0.0,0.0,0.1081620942017652,0.3039030585617637,0.0,0.0,0.0655062284483554,0.0,0.0,0.0,0.0,0.0
MB-6828,0.28119084130824495,0.1928969153844134,0.0,0.0,0.0,0.2207633133867264,0.0,0.0,0.0,0.3051489299206151,0.0,0.0,0.0,0.0
MB-8434,0.0,0.3112080767468352,0.0,0.0,0.1354093383677273,0.0,0.0335758835087606,0.519806701376677,0.0,0.0,0.0,0.0,0.0,0.0
MB-9008,0.1374899751574055,0.6680938020589923,0.0,0.0,0.0350526255421212,0.0,0.0,0.0367705362310405,0.0,0.0,0.0,0.1225930610104402,0.0,0.0
MB-2919,0.0173746344122512,0.0,0.0,0.1019818479139441,0.2245599310317758,0.2112940211441083,0.0,0.1457539455111761,0.0,0.0,0.0,0.0,0.2990356199867442,0.0
MB-8355,0.2443129123843636,0.1876559785322415,0.0,0.0,0.39398849933892444,0.0548183867902511,0.0,0.0,0.119224222954219,0.0,0.0,0.0,0.0,0.0
MB-2168,0.5713990160922899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0522702223201215,0.0,0.0,0.0,0.3763307615875884
MB-2386,0.394115177890622,0.0843683545061026,0.0,0.1065111016194391,0.0,0.1681008608915385,0.0,0.0,0.2469045050922977,0.0,0.0,0.0,0.0,0.0
MB-7258,0.837406240014916,0.1316331178854348,0.030960642099649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-8898,0.422623700214529,0.5773762997854709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-9833,0.0,0.3122296783271555,0.0,0.0,0.0869297019816398,0.3062360320509661,0.0776464220355454,0.0,0.0,0.0,0.0,0.0,0.0,0.216958165604693
MB-2766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44939835917376,0.55060164082624
MB-6938,0.6099446933968666,0.0,0.0,0.384001294847844,0.0060540117552892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-7677,0.2139933134009005,0.2902776259010378,0.0,0.0,0.0,0.0,0.0,0.0804063319785723,0.173011552701783,0.0,0.0,0.0,0.0,0.2423111760177061
MB-8629,0.35641783251154724,0.1896947426853889,0.0,0.0,0.144937926674522,0.0,0.0,0.0,0.0,0.0,0.0,0.097293557935482,0.0,0.2116559401930595
MB-2501,0.5427047800029619,0.1704773818731149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1513500756659628,0.1354677624579603,0.0,0.0
MB-7497,0.2430317719578382,0.0,0.0,0.0,0.6247551496138695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1322130784282922
MB-6365,0.0,0.0,0.0,0.0,0.0249723338792599,0.4859313900032587,0.0,0.1190075761021434,0.0,0.0,0.0,0.370088700015338,0.0,0.0
MB-4427,0.0,0.2752576562563847,0.3941499701090264,0.0,0.0,0.0,0.3104562956392978,0.0,0.0,0.0,0.020136077995291,0.0,0.0,0.0
MB-2369,0.4337545085829378,0.056185432843233,0.0,0.0,0.0,0.2239797749068724,0.1258415003480744,0.0,0.0,0.0,0.0387998244428782,0.1214389588760039,0.0,0.0
MB-5299,0.43194888962276146,0.0,0.0,0.2053061560750078,0.0,0.3627449543022307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-4444,0.2530288497695707,0.5970619150064864,0.0,0.0,0.0,0.0,0.1499092352239427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-7799,0.5638119770898159,0.1756049245595614,0.0,0.0,0.0878263844964832,0.0,0.0,0.1727567138541392,0.0,0.0,0.0,0.0,0.0,0.0
MB-8134,0.0,0.0,0.0,0.0,0.0,0.775592567041061,0.0,0.0,0.0,0.0,0.0,0.0,0.224407432958939,0.0
MB-4569,0.2334781308832617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7665218691167381,0.0,0.0,0.0,0.0
MB-9888,0.1928446263675432,0.2590658997606851,0.0,0.0,0.2789768494285536,0.0209346461779845,0.0,0.0,0.0,0.2414557939264598,0.0067221843387736,0.0,0.0,0.0
MB-7310,0.49886590292301103,0.0638881107429228,0.0,0.0,0.0,0.2899978710864265,0.1472481152476394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-8398,0.0,0.0,0.0,0.0,0.0,0.0,0.1776101672718094,0.3864600849832434,0.0907866148955939,0.0,0.3451431328493532,0.0,0.0,0.0
MB-9864,0.0,0.45133020310311156,0.0,0.0,0.0,0.0,0.0,0.5486697968968883,0.0,0.0,0.0,0.0,0.0,0.0
MB-6341,0.2135089521052032,0.2412499170188686,0.0,0.0,0.0,0.0,0.0806769777612426,0.197582492801178,0.0,0.0597975143519493,0.0,0.0,0.0,0.2071841459615581
