,Bacteroidota,Bacillota_A,Pseudomonadota,Verrucomicrobiota,Actinomycetota,Bacillota,Bacillota_C,Spirochaetota
MB-2126,0.0,0.4873377245709021,0.0,0.0,0.0,0.0,0.5126622754290979,0.0
MB-4454,0.0,0.5539296853653136,0.0,0.1300817879947888,0.0,0.3159885266398974,0.0,0.0
MB-5477,0.6842475472431397,0.2433086578376269,0.0,0.0,0.0,0.0,0.0,0.0724437949192333
MB-8978,0.1458805290824533,0.1424655002876119,0.4069822214340406,0.1976774512508496,0.0,0.1069942979450444,0.0,0.0
MB-8077,0.5237242635128364,0.0,0.2374627205107908,0.0,0.0,0.2388130159763726,0.0,0.0
MB-4799,0.18830371789817468,0.2970741940471452,0.0,0.0,0.0626327424206978,0.45198934563398196,0.0,0.0
MB-9568,0.4155826122276916,0.1068460065604241,0.0,0.0,0.1081620942017652,0.3039030585617637,0.0,0.0655062284483554
MB-6828,0.28119084130824495,0.1928969153844134,0.0,0.0,0.0,0.5259122433073415,0.0,0.0
MB-8434,0.0,0.3112080767468352,0.0335758835087606,0.0,0.1354093383677273,0.0,0.519806701376677,0.0
MB-9008,0.1374899751574055,0.7906868630694325,0.0,0.0,0.0350526255421212,0.0,0.0367705362310405,0.0
MB-2919,0.0173746344122512,0.0,0.0,0.1019818479139441,0.2245599310317758,0.5103296411308526,0.1457539455111761,0.0
MB-8355,0.2443129123843636,0.1876559785322415,0.0,0.0,0.39398849933892444,0.0548183867902511,0.0,0.119224222954219
MB-2168,0.5713990160922899,0.0,0.0,0.0,0.0,0.0522702223201215,0.3763307615875884,0.0
MB-2386,0.394115177890622,0.0843683545061026,0.0,0.1065111016194391,0.0,0.1681008608915385,0.0,0.2469045050922977
MB-7258,0.837406240014916,0.1316331178854348,0.030960642099649,0.0,0.0,0.0,0.0,0.0
MB-8898,0.422623700214529,0.5773762997854709,0.0,0.0,0.0,0.0,0.0,0.0
MB-9833,0.0,0.3122296783271555,0.0776464220355454,0.0,0.0869297019816398,0.3062360320509661,0.216958165604693,0.0
MB-2766,0.0,0.0,0.0,0.0,0.0,0.44939835917376,0.55060164082624,0.0
MB-6938,0.6099446933968666,0.0,0.0,0.384001294847844,0.0060540117552892,0.0,0.0,0.0
MB-7677,0.2139933134009005,0.2902776259010378,0.0,0.0,0.0,0.0,0.3227175079962784,0.173011552701783
MB-8629,0.35641783251154724,0.2869883006208709,0.0,0.0,0.144937926674522,0.0,0.2116559401930595,0.0
MB-2501,0.5427047800029619,0.45729521999703804,0.0,0.0,0.0,0.0,0.0,0.0
MB-7497,0.2430317719578382,0.0,0.0,0.0,0.6247551496138695,0.0,0.1322130784282922,0.0
MB-6365,0.0,0.370088700015338,0.0,0.0,0.0249723338792599,0.4859313900032587,0.1190075761021434,0.0
MB-4427,0.0,0.2953937342516757,0.7046062657483242,0.0,0.0,0.0,0.0,0.0
MB-2369,0.4337545085829378,0.2164242161621151,0.1258415003480744,0.0,0.0,0.2239797749068724,0.0,0.0
MB-5299,0.43194888962276146,0.0,0.0,0.2053061560750078,0.0,0.3627449543022307,0.0,0.0
MB-4444,0.2530288497695707,0.5970619150064864,0.1499092352239427,0.0,0.0,0.0,0.0,0.0
MB-7799,0.5638119770898159,0.1756049245595614,0.0,0.0,0.0878263844964832,0.0,0.1727567138541392,0.0
MB-8134,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MB-4569,0.2334781308832617,0.0,0.0,0.0,0.0,0.7665218691167381,0.0,0.0
MB-9888,0.1928446263675432,0.2657880840994587,0.0,0.0,0.2789768494285536,0.2623904401044443,0.0,0.0
MB-7310,0.49886590292301103,0.0638881107429228,0.1472481152476394,0.0,0.0,0.2899978710864265,0.0,0.0
MB-8398,0.0,0.3451431328493532,0.1776101672718094,0.0,0.0,0.0,0.3864600849832434,0.0907866148955939
MB-9864,0.0,0.45133020310311156,0.0,0.0,0.0,0.0,0.5486697968968883,0.0
MB-6341,0.2135089521052032,0.2412499170188686,0.0806769777612426,0.0,0.0,0.0597975143519493,0.4047666387627361,0.0
MB-4580,0.0,0.3718790274692479,0.4383620060383579,0.0,0.189758966492394,0.0,0.0,0.0
MB-2142,0.2759235106413754,0.0,0.0,0.0,0.0,0.4213199476772336,0.0,0.3027565416813908
MB-7565,0.4013505059967794,0.2247074312224065,0.0,0.0,0.0,0.3014185773210909,0.0,0.072523485459723
MB-6987,0.3771407114073197,0.2578483322808999,0.0,0.0,0.1707484525112985,0.1942625038004817,0.0,0.0
MB-5775,0.274803830742114,0.5932471046609745,0.0,0.0,0.0,0.1054518534403128,0.0264972111565985,0.0
